Name,Set Number,Set Name,Price (1),Date (1),Price (2),Date (2),$ Change
Crystal Wing Synchro Dragon (Ghost Rare),GFTP-EN130,Ghosts From the Past,246.53,2021-07-03 ,129.04,2023-10-01 ,-117.49
Blue-Eyes Alternative White Dragon (Ghost Rare),GFTP-EN129,Ghosts From the Past,384.51,2021-07-03 ,143.09,2023-10-01 ,-241.42
Sunavalon Dryanome,GFTP-EN020,Ghosts From the Past,0.8,2021-07-03 ,0.25,2023-10-01 ,-0.55
Sunavalon Dryatrentiay,GFTP-EN021,Ghosts From the Past,0.77,2021-07-03 ,0.35,2023-10-01 ,-0.42
Dark Magician (Ghost Rare),GFTP-EN128,Ghosts From the Past,781.42,2021-07-03 ,574.53,2023-10-01 ,-206.89
Sunvine Gardna,GFTP-EN022,Ghosts From the Past,0.42,2021-07-03 ,0.21,2023-10-01 ,-0.21
Sunvine Healer,GFTP-EN023,Ghosts From the Past,0.19,2021-07-03 ,0.29,2023-10-01 ,0.1
Sunvine Thrasher,GFTP-EN024,Ghosts From the Past,1.54,2021-07-03 ,1.24,2023-10-01 ,-0.3
Evenly Matched,GFTP-EN126,Ghosts From the Past,12.49,2021-07-03 ,6.12,2023-10-01 ,-6.37
Metalfoes Combination,GFTP-EN125,Ghosts From the Past,0.24,2021-07-03 ,0.17,2023-10-01 ,-0.07
Metalfoes Counter,GFTP-EN124,Ghosts From the Past,0.15,2021-07-03 ,0.12,2023-10-01 ,-0.03
Kozmojo,GFTP-EN123,Ghosts From the Past,0.33,2021-07-03 ,0.19,2023-10-01 ,-0.14
Phantom Knights' Fog Blade,GFTP-EN122,Ghosts From the Past,2.36,2021-07-03 ,1.41,2023-10-01 ,-0.95
The Monarchs Erupt,GFTP-EN121,Ghosts From the Past,0.55,2021-07-03 ,0.58,2023-10-01 ,0.03
Royal Prison,GFTP-EN120,Ghosts From the Past,0.36,2021-07-03 ,0.26,2023-10-01 ,-0.1
Sunvine Shrine,GFTP-EN025,Ghosts From the Past,0.65,2021-07-03 ,0.37,2023-10-01 ,-0.28
Sunavalon Bloom,GFTP-EN026,Ghosts From the Past,0.47,2021-07-03 ,0.27,2023-10-01 ,-0.2
"Starry Night, Starry Dragon",GFTP-EN027,Ghosts From the Past,1.52,2021-07-03 ,1.46,2023-10-01 ,-0.06
Starry Knight Rayel,GFTP-EN028,Ghosts From the Past,1.16,2021-07-03 ,0.59,2023-10-01 ,-0.57
Starry Knight Astel,GFTP-EN029,Ghosts From the Past,0.5,2021-07-03 ,0.32,2023-10-01 ,-0.18
Starry Knight Flamel,GFTP-EN030,Ghosts From the Past,1.0,2021-07-03 ,0.54,2023-10-01 ,-0.46
Starry Knight Balefire,GFTP-EN031,Ghosts From the Past,1.3,2021-07-03 ,0.8,2023-10-01 ,-0.5
Starry Knight Sky,GFTP-EN032,Ghosts From the Past,0.75,2021-07-03 ,0.61,2023-10-01 ,-0.14
Starry Knight Ceremony,GFTP-EN033,Ghosts From the Past,0.85,2021-07-03 ,0.62,2023-10-01 ,-0.23
Starry Knight Arrival,GFTP-EN034,Ghosts From the Past,0.83,2021-07-03 ,0.45,2023-10-01 ,-0.38
Starry Knight Blast,GFTP-EN035,Ghosts From the Past,0.42,2021-07-03 ,0.21,2023-10-01 ,-0.21
Dragunity Arma Gram,GFTP-EN036,Ghosts From the Past,1.16,2021-07-03 ,1.0,2023-10-01 ,-0.16
Dragunity Legatus,GFTP-EN037,Ghosts From the Past,3.59,2021-07-03 ,1.7,2023-10-01 ,-1.89
Orcustrated Return,GFTP-EN119,Ghosts From the Past,1.3,2021-07-03 ,0.5,2023-10-01 ,-0.8
Metalfoes Fusion,GFTP-EN118,Ghosts From the Past,0.24,2021-07-03 ,0.24,2023-10-01 ,0.0
Madolche Chateau,GFTP-EN117,Ghosts From the Past,0.86,2021-07-03 ,0.39,2023-10-01 ,-0.47
Dragunity Remus,GFTP-EN038,Ghosts From the Past,9.06,2021-07-03 ,3.07,2023-10-01 ,-5.99
Dragunity Draft,GFTP-EN039,Ghosts From the Past,0.29,2021-07-03 ,0.21,2023-10-01 ,-0.08
Dragunity Whirlwind,GFTP-EN040,Ghosts From the Past,1.15,2021-07-03 ,0.84,2023-10-01 ,-0.31
Xyz Burst,GFTP-EN116,Ghosts From the Past,0.14,2021-07-03 ,0.12,2023-10-01 ,-0.02
Resonator Call,GFTP-EN115,Ghosts From the Past,0.65,2021-07-03 ,2.17,2023-10-01 ,1.52
Dragunity Glow,GFTP-EN041,Ghosts From the Past,3.66,2021-07-03 ,1.28,2023-10-01 ,-2.38
Resonator Engine,GFTP-EN114,Ghosts From the Past,0.21,2021-07-03 ,0.22,2023-10-01 ,0.01
Dragunity Oubliette,GFTP-EN042,Ghosts From the Past,0.44,2021-07-03 ,0.24,2023-10-01 ,-0.2
Dragunity Knight - Areadbhair,GFTP-EN043,Ghosts From the Past,1.36,2021-07-03 ,0.51,2023-10-01 ,-0.85
Mask Change II,GFTP-EN113,Ghosts From the Past,0.49,2021-07-03 ,0.57,2023-10-01 ,0.08
Shooting Star Dragon T.G. EX,GFTP-EN044,Ghosts From the Past,1.5,2021-07-03 ,0.55,2023-10-01 ,-0.95
Mask Change,GFTP-EN112,Ghosts From the Past,0.49,2021-07-03 ,0.87,2023-10-01 ,0.38
Red Supernova Dragon,GFTP-EN045,Ghosts From the Past,4.07,2021-07-03 ,5.13,2023-10-01 ,1.06
Miracle Synchro Fusion,GFTP-EN111,Ghosts From the Past,0.25,2021-07-03 ,0.21,2023-10-01 ,-0.04
Ojama Country,GFTP-EN110,Ghosts From the Past,0.52,2021-07-03 ,0.31,2023-10-01 ,-0.21
Emergency Teleport,GFTP-EN109,Ghosts From the Past,2.8,2021-07-03 ,3.41,2023-10-01 ,0.61
Geartown,GFTP-EN108,Ghosts From the Past,0.3,2021-07-03 ,0.28,2023-10-01 ,-0.02
Laval Volcano Handmaiden,GFTP-EN046,Ghosts From the Past,0.22,2021-07-03 ,0.17,2023-10-01 ,-0.05
Lavalval Dragon,GFTP-EN047,Ghosts From the Past,0.2,2021-07-03 ,0.14,2023-10-01 ,-0.06
Molten Conduction Field,GFTP-EN048,Ghosts From the Past,0.17,2021-07-03 ,0.13,2023-10-01 ,-0.04
Splash Mage,GFTP-EN106,Ghosts From the Past,1.28,2021-07-03 ,1.64,2023-10-01 ,0.36
Update Jammer,GFTP-EN105,Ghosts From the Past,0.89,2021-07-03 ,0.71,2023-10-01 ,-0.18
Hieratic Dragon of Eset,GFTP-EN049,Ghosts From the Past,0.47,2021-07-03 ,0.28,2023-10-01 ,-0.19
Madolche Fresh Sistart,GFTP-EN104,Ghosts From the Past,0.51,2021-07-03 ,0.27,2023-10-01 ,-0.24
Hieratic Dragon of Tefnuit,GFTP-EN050,Ghosts From the Past,0.16,2021-07-03 ,0.17,2023-10-01 ,0.01
Hieratic Dragon King of Atum,GFTP-EN051,Ghosts From the Past,0.27,2021-07-03 ,0.44,2023-10-01 ,0.17
Metalfoes Volflame,GFTP-EN103,Ghosts From the Past,0.2,2021-07-03 ,0.12,2023-10-01 ,-0.08
Metalfoes Goldriver,GFTP-EN102,Ghosts From the Past,0.43,2021-07-03 ,0.3,2023-10-01 ,-0.13
Metalfoes Silverd,GFTP-EN101,Ghosts From the Past,0.44,2021-07-03 ,0.33,2023-10-01 ,-0.11
Metalfoes Steelen,GFTP-EN100,Ghosts From the Past,0.43,2021-07-03 ,0.19,2023-10-01 ,-0.24
Hieratic Sun Dragon Overlord of Heliopolis,GFTP-EN052,Ghosts From the Past,0.32,2021-07-03 ,0.24,2023-10-01 ,-0.08
Hieratic Seal of the Heavenly Spheres,GFTP-EN053,Ghosts From the Past,2.98,2021-07-03 ,1.85,2023-10-01 ,-1.13
Dark Requiem Xyz Dragon,GFTP-EN099,Ghosts From the Past,0.7,2021-07-03 ,0.33,2023-10-01 ,-0.37
Hieratic Seal of Convocation,GFTP-EN054,Ghosts From the Past,0.57,2021-07-03 ,0.32,2023-10-01 ,-0.25
Hieratic Seal of Supremacy,GFTP-EN055,Ghosts From the Past,0.13,2021-07-03 ,0.14,2023-10-01 ,0.01
Artifact Durendal,GFTP-EN098,Ghosts From the Past,0.21,2021-07-03 ,0.19,2023-10-01 ,-0.02
Hieratic Seal of Banishment,GFTP-EN056,Ghosts From the Past,0.15,2021-07-03 ,0.12,2023-10-01 ,-0.03
Hieratic Seal of Reflection,GFTP-EN057,Ghosts From the Past,0.16,2021-07-03 ,0.16,2023-10-01 ,0.0
Buster Dragon,GFTP-EN097,Ghosts From the Past,1.36,2021-07-03 ,0.77,2023-10-01 ,-0.59
Hieratic Seal From the Ashes,GFTP-EN058,Ghosts From the Past,0.2,2021-07-03 ,0.15,2023-10-01 ,-0.05
Galaxy-Eyes Cipher Blade Dragon,GFTP-EN059,Ghosts From the Past,0.25,2021-07-03 ,0.32,2023-10-01 ,0.07
Meteor Black Comet Dragon,GFTP-EN096,Ghosts From the Past,1.89,2021-07-03 ,2.86,2023-10-01 ,0.97
Time Thief Winder,GFTP-EN060,Ghosts From the Past,0.67,2021-07-03 ,0.35,2023-10-01 ,-0.32
Metalfoes Mithrilium,GFTP-EN095,Ghosts From the Past,0.16,2021-07-03 ,0.09,2023-10-01 ,-0.07
Metalfoes Orichalc,GFTP-EN094,Ghosts From the Past,0.2,2021-07-03 ,0.16,2023-10-01 ,-0.04
Time Thief Bezel Ship,GFTP-EN061,Ghosts From the Past,0.6,2021-07-03 ,0.25,2023-10-01 ,-0.35
Dragon Knight Draco-Equiste,GFTP-EN093,Ghosts From the Past,0.24,2021-07-03 ,0.54,2023-10-01 ,0.3
Time Thief Regulator,GFTP-EN062,Ghosts From the Past,0.89,2021-07-03 ,0.3,2023-10-01 ,-0.59
Time Thief Chronocorder,GFTP-EN063,Ghosts From the Past,0.64,2021-07-03 ,0.25,2023-10-01 ,-0.39
Salamangreat Fowl,GFTP-EN092,Ghosts From the Past,0.56,2021-07-03 ,0.47,2023-10-01 ,-0.09
Madolche Petingcessoeur,GFTP-EN091,Ghosts From the Past,1.37,2021-07-03 ,0.73,2023-10-01 ,-0.64
Time Thief Redoer,GFTP-EN064,Ghosts From the Past,0.45,2021-07-03 ,2.77,2023-10-01 ,2.32
Time Thief Perpetua,GFTP-EN065,Ghosts From the Past,0.52,2021-07-03 ,0.26,2023-10-01 ,-0.26
Danger! Thunderbird!,GFTP-EN090,Ghosts From the Past,1.47,2021-07-03 ,0.71,2023-10-01 ,-0.76
Salamangreat Falco,GFTP-EN089,Ghosts From the Past,0.6,2021-07-03 ,0.78,2023-10-01 ,0.18
Time Thief Hack,GFTP-EN066,Ghosts From the Past,0.33,2021-07-03 ,0.19,2023-10-01 ,-0.14
Time Thief Startup,GFTP-EN067,Ghosts From the Past,0.59,2021-07-03 ,0.25,2023-10-01 ,-0.34
Time Thief Flyback,GFTP-EN068,Ghosts From the Past,0.15,2021-07-03 ,0.26,2023-10-01 ,0.11
Raremetalfoes Bismugear,GFTP-EN087,Ghosts From the Past,0.3,2021-07-03 ,0.2,2023-10-01 ,-0.1
Time Thief Retrograde,GFTP-EN069,Ghosts From the Past,0.28,2021-07-03 ,0.27,2023-10-01 ,-0.01
Seiyaryu,GFTP-EN070,Ghosts From the Past,0.56,2021-07-03 ,0.32,2023-10-01 ,-0.24
Kozmoll Dark Lady,GFTP-EN086,Ghosts From the Past,0.54,2021-07-03 ,0.31,2023-10-01 ,-0.23
Hyozanryu,GFTP-EN071,Ghosts From the Past,0.21,2021-07-03 ,0.18,2023-10-01 ,-0.03
Kozmo Tincan,GFTP-EN085,Ghosts From the Past,0.61,2021-07-03 ,0.4,2023-10-01 ,-0.21
Arkbrave Dragon,GFTP-EN072,Ghosts From the Past,0.23,2021-07-03 ,0.19,2023-10-01 ,-0.04
Raidraptor - Tribute Lanius,GFTP-EN084,Ghosts From the Past,1.18,2021-07-03 ,1.3,2023-10-01 ,0.12
Dragunity Phalanx,GFTP-EN073,Ghosts From the Past,0.46,2021-07-03 ,0.24,2023-10-01 ,-0.22
Re-Cover,GFTP-EN083,Ghosts From the Past,0.21,2021-07-03 ,0.18,2023-10-01 ,-0.03
Thestalos the Mega Monarch,GFTP-EN082,Ghosts From the Past,0.4,2021-07-03 ,0.33,2023-10-01 ,-0.07
Gigantes,GFTP-EN074,Ghosts From the Past,0.33,2021-07-03 ,0.51,2023-10-01 ,0.18
Tackle Crusader,GFTP-EN081,Ghosts From the Past,0.21,2021-07-03 ,0.68,2023-10-01 ,0.47
Armed Dragon LV10,GFTP-EN075,Ghosts From the Past,0.98,2021-07-03 ,0.86,2023-10-01 ,-0.12
Madolche Puddingcess,GFTP-EN080,Ghosts From the Past,0.78,2021-07-03 ,0.29,2023-10-01 ,-0.49
Photon Thrasher,GFTP-EN079,Ghosts From the Past,0.72,2021-07-03 ,0.53,2023-10-01 ,-0.19
Mine Mole,GFTP-EN078,Ghosts From the Past,0.24,2021-07-03 ,0.18,2023-10-01 ,-0.06
Evil Thorn,GFTP-EN077,Ghosts From the Past,0.87,2021-07-03 ,0.27,2023-10-01 ,-0.6
Mist Valley Baby Roc,GFTP-EN076,Ghosts From the Past,0.35,2021-07-03 ,0.15,2023-10-01 ,-0.2
"Nunu, the Ogdoadic Remnant",ANGU-EN001,Ancient Guardians,0.67,2021-07-03 ,0.38,2023-10-01 ,-0.29
"Nauya, the Ogdoadic Remnant",ANGU-EN002,Ancient Guardians,0.97,2021-07-03 ,0.5,2023-10-01 ,-0.47
"Flogos, the Ogdoadic Boundless",ANGU-EN003,Ancient Guardians,0.14,2021-07-03 ,0.08,2023-10-01 ,-0.06
"Zohah, the Ogdoadic Boundless",ANGU-EN004,Ancient Guardians,0.12,2021-07-03 ,0.08,2023-10-01 ,-0.04
"Keurse, the Ogdoadic Light",ANGU-EN005,Ancient Guardians,0.22,2021-07-03 ,0.2,2023-10-01 ,-0.02
"Aleirtt, the Ogdoadic Dark",ANGU-EN006,Ancient Guardians,0.25,2021-07-03 ,0.21,2023-10-01 ,-0.04
"Aron, the Ogdoadic King",ANGU-EN007,Ancient Guardians,6.69,2021-07-03 ,1.86,2023-10-01 ,-4.83
"Aron, the Ogdoadic King (CR)",ANGU-EN007,Ancient Guardians,26.71,2021-07-03 ,26.12,2023-10-01 ,-0.59
"Amunessia, the Ogdoadic Queen",ANGU-EN008,Ancient Guardians,5.43,2021-07-03 ,1.75,2023-10-01 ,-3.68
"Ogdoabyss, the Ogdoadic Overlord",ANGU-EN009,Ancient Guardians,8.31,2021-07-03 ,2.3,2023-10-01 ,-6.01
Ogdoadic Water Lily,ANGU-EN010,Ancient Guardians,1.01,2021-07-03 ,0.52,2023-10-01 ,-0.49
Ogdoadic Origin,ANGU-EN011,Ancient Guardians,0.16,2021-07-03 ,0.08,2023-10-01 ,-0.08
Ogdoadic Hollow,ANGU-EN012,Ancient Guardians,0.14,2021-07-03 ,0.07,2023-10-01 ,-0.07
Ogdoadic Calling,ANGU-EN013,Ancient Guardians,0.14,2021-07-03 ,0.08,2023-10-01 ,-0.06
DoSolfachord Cutia,ANGU-EN014,Ancient Guardians,0.32,2021-07-03 ,0.2,2023-10-01 ,-0.12
ReSolfachord Dreamia,ANGU-EN015,Ancient Guardians,0.15,2021-07-03 ,0.09,2023-10-01 ,-0.06
MiSolfachord Eliteia,ANGU-EN016,Ancient Guardians,0.14,2021-07-03 ,0.08,2023-10-01 ,-0.06
FaSolfachord Fancia,ANGU-EN017,Ancient Guardians,10.27,2021-07-03 ,6.44,2023-10-01 ,-3.83
FaSolfachord Fancia (CR),ANGU-EN017,Ancient Guardians,56.14,2021-07-03 ,28.46,2023-10-01 ,-27.68
SolSolfachord Gracia,ANGU-EN018,Ancient Guardians,0.4,2021-07-03 ,0.24,2023-10-01 ,-0.16
SolSolfachord Gracia (CR),ANGU-EN018,Ancient Guardians,48.04,2021-07-03 ,25.99,2023-10-01 ,-22.05
LaSolfachord Angelia,ANGU-EN019,Ancient Guardians,0.25,2021-07-03 ,0.14,2023-10-01 ,-0.11
TiSolfachord Beautia,ANGU-EN020,Ancient Guardians,4.11,2021-07-03 ,2.44,2023-10-01 ,-1.67
TiSolfachord Beautia (CR),ANGU-EN020,Ancient Guardians,40.68,2021-07-03 ,23.96,2023-10-01 ,-16.72
DoSolfachord Coolia,ANGU-EN021,Ancient Guardians,8.13,2021-07-03 ,2.74,2023-10-01 ,-5.39
DoSolfachord Coolia (CR),ANGU-EN021,Ancient Guardians,34.18,2021-07-03 ,25.58,2023-10-01 ,-8.6
Solfachord Elegance,ANGU-EN022,Ancient Guardians,0.37,2021-07-03 ,0.27,2023-10-01 ,-0.1
Solfachord Scale,ANGU-EN023,Ancient Guardians,0.17,2021-07-03 ,0.07,2023-10-01 ,-0.1
Solfachord Harmonia,ANGU-EN024,Ancient Guardians,0.25,2021-07-03 ,0.18,2023-10-01 ,-0.07
Solfachord Musica,ANGU-EN025,Ancient Guardians,0.16,2021-07-03 ,0.09,2023-10-01 ,-0.07
Solfachord Formal,ANGU-EN026,Ancient Guardians,0.16,2021-07-03 ,0.09,2023-10-01 ,-0.07
Ursarctic Mikpolar,ANGU-EN027,Ancient Guardians,0.17,2021-07-03 ,0.19,2023-10-01 ,0.02
Ursarctic Miktanus,ANGU-EN028,Ancient Guardians,0.19,2021-07-03 ,0.21,2023-10-01 ,0.02
Ursarctic Mikbilis,ANGU-EN029,Ancient Guardians,0.17,2021-07-03 ,0.18,2023-10-01 ,0.01
Ursarctic Megapolar,ANGU-EN030,Ancient Guardians,0.17,2021-07-03 ,0.12,2023-10-01 ,-0.05
Ursarctic Megatanus,ANGU-EN031,Ancient Guardians,0.13,2021-07-03 ,0.1,2023-10-01 ,-0.03
Ursarctic Megabilis,ANGU-EN032,Ancient Guardians,0.12,2021-07-03 ,0.1,2023-10-01 ,-0.02
Ursarctic Polari,ANGU-EN033,Ancient Guardians,7.11,2021-07-03 ,4.12,2023-10-01 ,-2.99
Ursarctic Polari (CR),ANGU-EN033,Ancient Guardians,42.11,2021-07-03 ,33.53,2023-10-01 ,-8.58
Ursarctic Septentrion,ANGU-EN034,Ancient Guardians,3.44,2021-07-03 ,2.68,2023-10-01 ,-0.76
Ursarctic Septentrion (CR),ANGU-EN034,Ancient Guardians,27.19,2021-07-03 ,31.69,2023-10-01 ,4.5
Ursarctic Grand Chariot,ANGU-EN035,Ancient Guardians,2.5,2021-07-03 ,2.07,2023-10-01 ,-0.43
Ursarctic Departure,ANGU-EN036,Ancient Guardians,0.23,2021-07-03 ,0.21,2023-10-01 ,-0.02
Ursarctic Slider,ANGU-EN037,Ancient Guardians,0.19,2021-07-03 ,0.16,2023-10-01 ,-0.03
Ursarctic Big Dipper,ANGU-EN038,Ancient Guardians,3.54,2021-07-03 ,4.83,2023-10-01 ,1.29
Ursarctic Quint Charge,ANGU-EN039,Ancient Guardians,0.1,2021-07-03 ,0.1,2023-10-01 ,0.0
Vennominon the King of Poisonous Snakes,ANGU-EN040,Ancient Guardians,0.13,2021-07-03 ,0.08,2023-10-01 ,-0.05
Vennominaga the Deity of Poisonous Snakes,ANGU-EN041,Ancient Guardians,0.12,2021-07-03 ,0.11,2023-10-01 ,-0.01
Vennominaga the Deity of Poisonous Snakes (CR),ANGU-EN041,Ancient Guardians,40.14,2021-07-03 ,18.88,2023-10-01 ,-21.26
Evil Dragon Ananta,ANGU-EN042,Ancient Guardians,0.12,2021-07-03 ,0.09,2023-10-01 ,-0.03
Skull Meister,ANGU-EN043,Ancient Guardians,0.75,2021-07-03 ,0.39,2023-10-01 ,-0.36
Skull Meister (CR),ANGU-EN043,Ancient Guardians,96.4,2021-07-03 ,39.55,2023-10-01 ,-56.85
Lightserpent,ANGU-EN044,Ancient Guardians,0.13,2021-07-03 ,0.06,2023-10-01 ,-0.07
"Luster Pendulum, the Dracoslayer",ANGU-EN045,Ancient Guardians,0.15,2021-07-03 ,0.17,2023-10-01 ,0.02
Dinowrestler Pankratops,ANGU-EN046,Ancient Guardians,0.23,2021-07-03 ,0.23,2023-10-01 ,0.0
Dinowrestler Pankratops (CR),ANGU-EN046,Ancient Guardians,118.43,2021-07-03 ,133.6,2023-10-01 ,15.17
"Dinoster Power, the Mighty Dracoslayer",ANGU-EN047,Ancient Guardians,0.14,2021-07-03 ,0.15,2023-10-01 ,0.01
"Ignister Prominence, the Blasting Dracoslayer",ANGU-EN048,Ancient Guardians,0.14,2021-07-03 ,0.16,2023-10-01 ,0.02
King of the Feral Imps,ANGU-EN049,Ancient Guardians,0.15,2021-07-03 ,0.11,2023-10-01 ,-0.04
"Majester Paladin, the Ascending Dracoslayer",ANGU-EN050,Ancient Guardians,0.11,2021-07-03 ,0.12,2023-10-01 ,0.01
Snake Rain,ANGU-EN051,Ancient Guardians,0.26,2021-07-03 ,0.18,2023-10-01 ,-0.08
Snake Rain (CR),ANGU-EN051,Ancient Guardians,64.45,2021-07-03 ,38.36,2023-10-01 ,-26.09
Trade-In,ANGU-EN052,Ancient Guardians,0.46,2021-07-03 ,0.39,2023-10-01 ,-0.07
Viper's Rebirth,ANGU-EN053,Ancient Guardians,0.13,2021-07-03 ,0.09,2023-10-01 ,-0.04
Ayers Rock Sunrise,ANGU-EN054,Ancient Guardians,0.12,2021-07-03 ,0.1,2023-10-01 ,-0.02
Pot of Riches,ANGU-EN055,Ancient Guardians,0.14,2021-07-03 ,0.1,2023-10-01 ,-0.04
Wavering Eyes,ANGU-EN056,Ancient Guardians,0.11,2021-07-03 ,0.08,2023-10-01 ,-0.03
Igknight Reload,ANGU-EN057,Ancient Guardians,0.17,2021-07-03 ,0.08,2023-10-01 ,-0.09
Rise of the Snake Deity,ANGU-EN059,Ancient Guardians,0.13,2021-07-03 ,0.1,2023-10-01 ,-0.03
Damage = Reptile,ANGU-EN058,Ancient Guardians,0.11,2021-07-03 ,0.12,2023-10-01 ,0.01
Offering to the Snake Deity,ANGU-EN060,Ancient Guardians,0.12,2021-07-03 ,0.13,2023-10-01 ,0.01
Ursarctic Grand Chariot (CR),ANGU-EN035,Ancient Guardians,20.65,2021-07-03 ,16.39,2023-10-01 ,-4.26
"Ogdoabyss, the Ogdoadic Overlord (CR)",ANGU-EN009,Ancient Guardians,71.62,2021-07-03 ,32.85,2023-10-01 ,-38.77
"Amunessia, the Ogdoadic Queen (CR)",ANGU-EN008,Ancient Guardians,40.84,2021-07-03 ,18.39,2023-10-01 ,-22.45
Trade-In (CR),ANGU-EN052,Ancient Guardians,79.95,2021-07-03 ,70.66,2023-10-01 ,-9.29
Diviner of the Herald,LIOV-EN000,Lightning Overdrive,66.87,2021-07-03 ,17.45,2023-10-01 ,-49.42
ZW - Pegasus Twin Saber,LIOV-EN001,Lightning Overdrive,0.19,2021-07-03 ,0.07,2023-10-01 ,-0.12
ZS - Armed Sage,LIOV-EN002,Lightning Overdrive,0.17,2021-07-03 ,0.06,2023-10-01 ,-0.11
ZS - Ascended Sage,LIOV-EN003,Lightning Overdrive,5.38,2021-07-03 ,2.55,2023-10-01 ,-2.83
Supreme Sovereign Serpent of Golgonda,LIOV-EN004,Lightning Overdrive,0.31,2021-07-03 ,0.27,2023-10-01 ,-0.04
Springans Brothers,LIOV-EN005,Lightning Overdrive,0.12,2021-07-03 ,0.11,2023-10-01 ,-0.01
Amazement Administrator Arlekino,LIOV-EN006,Lightning Overdrive,21.47,2021-07-03 ,3.17,2023-10-01 ,-18.3
Amazement Ambassador Bufo,LIOV-EN007,Lightning Overdrive,0.13,2021-07-03 ,0.08,2023-10-01 ,-0.05
Amazement Attendant Comica,LIOV-EN008,Lightning Overdrive,2.52,2021-07-03 ,1.23,2023-10-01 ,-1.29
Roxrose Dragon,LIOV-EN009,Lightning Overdrive,0.48,2021-07-03 ,0.53,2023-10-01 ,0.05
Ruddy Rose Witch,LIOV-EN010,Lightning Overdrive,0.39,2021-07-03 ,0.33,2023-10-01 ,-0.06
Danmari @Ignister,LIOV-EN011,Lightning Overdrive,0.17,2021-07-03 ,0.07,2023-10-01 ,-0.1
Bujin Mahitotsu,LIOV-EN012,Lightning Overdrive,0.11,2021-07-03 ,0.09,2023-10-01 ,-0.02
Bujin Torifune,LIOV-EN013,Lightning Overdrive,0.2,2021-07-03 ,0.19,2023-10-01 ,-0.01
S-Force Dog Tag,LIOV-EN014,Lightning Overdrive,0.15,2021-07-03 ,0.07,2023-10-01 ,-0.08
S-Force Edge Razor,LIOV-EN015,Lightning Overdrive,0.25,2021-07-03 ,0.26,2023-10-01 ,0.01
Traptrix Vesiculo,LIOV-EN016,Lightning Overdrive,2.47,2021-07-03 ,0.47,2023-10-01 ,-2.0
Live Twin Ki-sikil Frost,LIOV-EN017,Lightning Overdrive,3.03,2021-07-03 ,1.99,2023-10-01 ,-1.04
"Blackeyes, the Plunder Patroll Seaguide",LIOV-EN018,Lightning Overdrive,0.19,2021-07-03 ,0.15,2023-10-01 ,-0.04
Starry Knight Ciel,LIOV-EN019,Lightning Overdrive,0.12,2021-07-03 ,0.11,2023-10-01 ,-0.01
Judge of the Ice Barrier,LIOV-EN020,Lightning Overdrive,0.16,2021-07-03 ,0.13,2023-10-01 ,-0.03
Scrap Raptor,LIOV-EN021,Lightning Overdrive,0.31,2021-07-03 ,0.2,2023-10-01 ,-0.11
Dark Honest,LIOV-EN022,Lightning Overdrive,8.38,2021-07-03 ,1.81,2023-10-01 ,-6.57
"Bahalutiya, the Grand Radiance",LIOV-EN023,Lightning Overdrive,3.37,2021-07-03 ,0.71,2023-10-01 ,-2.66
Pharaonic Guardian Sphinx,LIOV-EN024,Lightning Overdrive,0.13,2021-07-03 ,0.06,2023-10-01 ,-0.07
Sky Scourge Cidhels,LIOV-EN025,Lightning Overdrive,0.12,2021-07-03 ,0.05,2023-10-01 ,-0.07
Anchamoufrite,LIOV-EN026,Lightning Overdrive,0.14,2021-07-03 ,0.11,2023-10-01 ,-0.03
Dark Eye Nightmare,LIOV-EN027,Lightning Overdrive,0.11,2021-07-03 ,0.05,2023-10-01 ,-0.06
World Soul - Carbon,LIOV-EN028,Lightning Overdrive,0.12,2021-07-03 ,0.07,2023-10-01 ,-0.05
Yamorimori,LIOV-EN029,Lightning Overdrive,0.15,2021-07-03 ,0.05,2023-10-01 ,-0.1
Clock Arc,LIOV-EN030,Lightning Overdrive,0.14,2021-07-03 ,0.04,2023-10-01 ,-0.1
Otoshidamashi,LIOV-EN031,Lightning Overdrive,0.14,2021-07-03 ,0.07,2023-10-01 ,-0.07
White Knight of Dogmatika,LIOV-EN032,Lightning Overdrive,0.79,2021-07-03 ,1.0,2023-10-01 ,0.21
Albion the Branded Dragon,LIOV-EN033,Lightning Overdrive,1.04,2021-07-03 ,2.4,2023-10-01 ,1.36
Mysterion the Dragon Crown,LIOV-EN034,Lightning Overdrive,1.83,2021-07-03 ,0.88,2023-10-01 ,-0.95
Ruddy Rose Dragon,LIOV-EN035,Lightning Overdrive,9.91,2021-07-03 ,3.6,2023-10-01 ,-6.31
Garden Rose Flora,LIOV-EN036,Lightning Overdrive,0.68,2021-07-03 ,0.43,2023-10-01 ,-0.25
Lavalval Exlord,LIOV-EN037,Lightning Overdrive,0.23,2021-07-03 ,0.23,2023-10-01 ,0.0
Star Mine,LIOV-EN038,Lightning Overdrive,0.17,2021-07-03 ,0.06,2023-10-01 ,-0.11
Ultimate Dragonic Utopia Ray,LIOV-EN039,Lightning Overdrive,1.05,2021-07-03 ,0.35,2023-10-01 ,-0.7
ZW - Dragonic Halberd,LIOV-EN040,Lightning Overdrive,0.22,2021-07-03 ,0.17,2023-10-01 ,-0.05
Springans Merrymaker,LIOV-EN041,Lightning Overdrive,0.25,2021-07-03 ,2.38,2023-10-01 ,2.13
